Brand,price_per_km,availability_status,Range,efficiency,weight,speed,Fast_charge,distance,cargo_vol,Battery,german_price,netherland_price,uk_price,towing,driver_type,No.of_Seats,Heat_Pump,Towbar,Rating,Bidirectional,Load,Home,Grid
Tesla,113,Available,380,158,1981,7.2,110,440,952,60.0,40970,39990,41990,1600,Rear Wheel,5,1,1,5.0,0,1,1,1
Skoda,96,Available,450,171,2115,6.6,120,493,470,77.0,44180,43990,35560,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
Tesla,86,Discontinued,550,136,1822,5.2,124,655,682,75.0,44990,45990,44990,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
Leapmotor,93,Available,360,181,1920,8.0,110,403,430,65.0,32400,31495,31495,750,Rear Wheel,5,1,1,5.0,1,1,1,1
Renault,91,Available,335,155,1504,8.0,75,352,326,52.0,32900,30990,23945,500,Front Wheel,5,1,1,4.0,1,1,1,1
Changan,101,Available,385,177,2015,7.5,130,448,651,68.0,38990,38990,49825,1600,Rear Wheel,5,1,1,5.0,1,1,1,1
Tesla,143,Available,460,172,2108,3.8,120,535,971,79.0,62970,62990,61990,1600,All Wheel,5,1,1,5.0,0,1,1,1
BYD,121,Available,340,178,1825,7.3,75,348,440,60.5,38990,40690,37730,750,Front Wheel,5,1,1,5.0,1,1,1,1
Tesla,118,Available,475,166,2072,4.8,120,556,971,79.0,53970,53990,51990,1600,All Wheel,5,1,1,5.0,0,1,1,1
Volvo,117,Available,365,178,1850,5.3,112,409,325,65.0,44990,39995,37260,1600,Rear Wheel,5,1,1,5.0,1,1,1,1
Tesla,139,Discontinued,345,165,1984,6.9,108,409,971,57.0,45970,45990,44990,1600,Rear Wheel,5,1,1,5.0,0,1,1,1
Kia,110,Discontinued,385,168,1757,7.8,70,379,495,64.8,45690,38995,37295,750,Front Wheel,5,1,1,4.0,1,1,1,1
BYD,122,Discontinued,330,183,1825,7.3,71,325,440,60.5,37990,39690,37195,0,Front Wheel,5,1,0,5.0,1,1,1,1
Jaecoo,96,Available,325,181,1765,7.7,80,341,480,58.9,55400,30890,27505,1250,Front Wheel,5,0,1,5.0,0,1,1,1
Kia,113,Available,400,195,2069,8.4,115,421,610,78.0,45990,44495,39295,1200,Front Wheel,5,1,1,5.0,1,1,1,1
Kia,133,Available,315,213,2145,10.6,75,328,1330,67.0,42290,43995,34495,1500,Front Wheel,5,1,1,5.0,1,1,1,1
Audi,212,Discontinued,365,237,2565,5.7,146,384,722,86.5,81500,66415,72935,1800,All Wheel,5,1,1,5.0,0,1,1,1
BMW,184,Discontinued,385,192,2255,6.8,104,411,510,74.0,67300,71462,64165,750,Rear Wheel,5,1,1,5.0,0,1,1,1
Hyundai,110,Available,450,178,2060,7.5,205,560,577,80.0,51650,46995,43400,1600,Rear Wheel,5,1,1,5.0,1,1,1,1
Hyundai,107,Available,390,168,1773,7.8,86,391,493,65.4,47190,39995,33500,750,Front Wheel,5,1,1,4.0,1,1,1,1
BMW,148,Discontinued,380,170,2085,5.6,93,407,490,64.7,55000,59489,47465,1200,All Wheel,5,1,1,5.0,0,1,1,1
Fiat,95,Available,260,168,1511,11.0,62,271,361,43.8,24990,24999,20995,550,Front Wheel,5,0,1,5.0,0,1,1,1
Mercedes,172,Available,685,172,2545,6.2,160,731,620,118.0,109551,113387,112620,750,Rear Wheel,5,1,1,5.0,0,1,1,1
BMW,122,Discontinued,515,157,2125,5.7,131,584,470,80.7,59200,62992,57890,1600,Rear Wheel,5,1,1,4.0,0,1,1,1
Kia,88,Available,475,164,1890,7.7,105,498,435,78.0,43240,41195,36195,1000,Front Wheel,5,1,1,5.0,1,1,1,1
Hyundai,101,Available,545,147,2000,7.4,205,695,446,80.0,55300,54990,49825,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
Tesla,124,Discontinued,455,162,1931,4.6,163,560,542,73.5,55480,59995,46990,1000,All Wheel,5,0,1,5.0,0,1,1,1
Volkswagen,172,Discontinued,190,168,1615,9.6,39,178,341,32.0,31900,34005,28075,0,Front Wheel,5,1,0,5.0,0,1,1,1
Zeekr,98,Available,540,178,2360,5.3,260,706,521,96.0,53950,51990,49825,1600,Rear Wheel,5,1,1,5.0,1,1,1,1
BYD,122,Available,445,185,2260,3.8,100,472,453,82.5,52990,53690,48695,1500,All Wheel,5,1,1,5.0,1,1,1,1
Renault,117,Discontinued,380,158,1711,7.4,87,410,440,60.0,46600,42990,37995,900,Front Wheel,5,1,1,5.0,0,1,1,1
XPENG,114,Available,435,184,2190,6.7,290,559,571,80.0,47600,48990,44990,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
Toyota,138,Available,385,184,2110,4.4,110,417,600,71.0,55400,52995,49825,1500,All Wheel,5,1,1,5.0,0,1,1,1
Tesla,117,Discontinued,490,155,1919,4.4,135,584,649,76.0,55260,58990,49825,1000,All Wheel,5,1,1,5.0,0,1,1,1
Leapmotor,82,Available,225,160,1250,12.7,30,212,210,36.0,18900,19950,14495,1000,Front Wheel,4,0,0,5.0,0,1,1,1
Mazda,111,Available,400,170,2037,7.6,130,474,526,68.0,44900,44900,49825,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
Toyota,103,Available,430,167,1940,7.3,110,471,416,72.0,45990,43995,37650,750,Front Wheel,5,1,1,5.0,0,1,1,1
Tesla,112,Discontinued,485,155,1919,4.4,124,577,649,75.0,53668,50993,50990,1000,All Wheel,5,1,1,5.0,0,1,1,1
Tesla,96,Discontinued,440,136,1836,6.1,110,520,682,60.0,40970,39990,39990,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
Tesla,113,Discontinued,455,165,1959,5.9,124,535,971,75.0,49970,49990,46990,1600,Rear Wheel,5,1,1,5.0,0,1,1,1
Hyundai,89,Available,300,153,1410,10.6,70,311,351,46.0,25400,25995,25045,1000,Front Wheel,4,1,0,4.0,1,1,1,1
Volkswagen,108,Discontinued,445,173,2144,6.7,120,490,543,77.0,46335,44990,46035,1000,Rear Wheel,5,1,1,5.0,1,1,1,1
Renault,93,Available,480,181,1917,7.9,95,481,545,87.0,47900,45290,35495,1100,Front Wheel,5,1,1,5.0,1,1,1,1
Hyundai,110,Discontinued,390,164,1760,7.9,64,363,332,64.0,42900,41995,37750,300,Front Wheel,5,1,1,5.0,0,1,1,1
Zeekr,116,Available,500,192,2415,6.0,260,640,605,96.0,58950,56990,49825,2000,Rear Wheel,5,1,1,5.0,1,1,1,1
Volvo,141,Available,455,176,2190,5.9,190,562,575,80.0,62990,63995,56860,2000,Rear Wheel,5,1,1,5.0,1,1,1,1
Tesla,112,Available,470,160,1976,5.6,124,552,971,75.0,50970,50990,48990,1600,Rear Wheel,5,1,1,5.0,0,1,1,1
BYD,149,Available,460,237,2705,4.9,100,444,235,108.8,69615,67390,49825,1500,All Wheel,7,1,1,5.0,1,1,1,1
Tesla,136,Discontinued,350,146,1700,5.6,105,421,649,51.0,45560,49990,40990,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
Mercedes,133,Discontinued,415,170,2105,8.9,90,414,495,70.5,53514,51356,52800,1400,Front Wheel,7,1,1,5.0,0,1,1,1
MG,106,Available,365,170,1755,6.3,90,387,453,62.1,42990,36850,31245,750,Rear Wheel,5,1,1,5.0,1,1,1,1
Skoda,104,Available,455,169,2141,6.7,120,477,585,77.0,48900,45990,40480,1000,Rear Wheel,5,1,1,5.0,1,1,1,1
Mercedes,99,Available,565,150,2075,6.8,235,738,556,85.0,57096,54986,47750,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
Lynk,99,Available,355,175,1820,5.5,90,383,425,62.0,35995,33995,49825,1600,Rear Wheel,5,1,1,5.0,1,1,1,1
Skoda,108,Available,350,169,1975,8.5,110,405,470,59.0,38680,37990,32060,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
Mercedes,202,Discontinued,370,216,2495,5.1,100,366,500,80.0,66069,73216,74330,1800,All Wheel,5,1,1,5.0,0,1,1,1
BMW,129,Discontinued,390,166,1940,8.3,93,418,490,64.7,47900,50620,45465,750,Front Wheel,5,1,1,5.0,0,1,1,1
Tesla,149,Discontinued,320,153,1684,5.6,105,389,542,49.0,46380,49995,40490,1000,Rear Wheel,5,0,1,5.0,0,1,1,1
Skoda,112,Discontinued,440,175,2075,8.6,125,468,585,77.0,48900,48990,42925,1000,Rear Wheel,5,1,1,5.0,1,1,1,1
Renault,111,Discontinued,315,165,1577,11.4,41,274,338,52.0,36840,34895,29095,0,Front Wheel,5,1,0,0.0,0,1,1,1
Kia,108,Discontinued,375,171,1812,7.8,64,349,451,64.0,42790,38995,34995,300,Front Wheel,5,1,1,4.0,0,1,1,1
BYD,121,Available,420,196,2300,6.7,115,440,578,82.5,47990,50690,46990,750,Rear Wheel,5,1,1,5.0,1,1,1,1
Lucid,184,Available,720,163,2435,3.2,190,836,910,117.0,130900,133900,49825,0,All Wheel,5,1,0,5.0,1,1,1,1
BYD,100,Discontinued,350,173,1733,7.0,65,338,345,60.5,32990,36990,30195,0,Front Wheel,5,1,1,5.0,1,1,1,1
Tesla,126,Discontinued,490,153,1929,3.4,124,585,682,75.0,58470,58490,59990,0,All Wheel,5,1,0,5.0,0,1,1,1
Changan,111,Available,410,190,2148,7.9,70,386,635,78.0,44990,54990,39990,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
BYD,107,Available,265,163,1465,9.1,60,275,308,43.2,30990,26690,23950,0,Front Wheel,4,1,1,5.0,1,1,1,1
Tesla,114,Discontinued,400,143,1835,6.1,100,468,649,57.0,44668,42993,42990,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
Omoda,103,Available,330,178,1785,7.6,80,350,380,58.9,55400,29990,33055,0,Front Wheel,5,0,0,5.0,0,1,1,1
Renault,98,Available,315,165,1537,8.2,75,330,420,52.0,32400,32990,23445,750,Front Wheel,5,1,1,5.0,1,1,1,1
Kia,128,Available,440,182,2160,5.2,205,549,510,80.0,53990,55495,52085,1800,All Wheel,5,1,1,5.0,1,1,1,1
Mercedes,109,Available,575,148,2135,4.9,235,746,506,85.0,60381,65170,49825,1800,All Wheel,5,1,1,5.0,1,1,1,1
Tesla,101,Discontinued,525,143,1899,4.4,124,629,682,75.0,49990,50990,49990,1000,All Wheel,5,1,1,5.0,0,1,1,1
Hyundai,146,Discontinued,250,153,1602,9.7,36,230,357,38.3,35350,37015,32050,0,Front Wheel,5,1,0,5.0,0,1,1,1
Audi,140,Discontinued,405,189,2125,8.5,125,430,520,76.6,51900,59415,50630,1000,Rear Wheel,5,1,1,5.0,1,1,1,1
Tesla,212,Discontinued,560,170,2265,2.4,140,636,798,95.0,120970,120990,49825,1600,All Wheel,5,1,1,5.0,0,1,1,1
BMW,167,Discontinued,235,161,1345,7.3,46,222,260,37.9,39000,39939,33805,0,Rear Wheel,4,1,0,5.0,0,1,1,1
Volkswagen,114,Discontinued,475,162,2172,6.5,125,541,532,77.0,53995,48990,51550,1000,Rear Wheel,5,1,1,5.0,1,1,1,1
Kia,114,Available,325,169,1800,7.5,80,341,485,55.0,35990,36995,32995,500,Front Wheel,5,1,1,5.0,1,1,1,1
Mercedes,121,Available,465,183,2200,7.4,235,586,667,85.0,59048,57184,46100,1500,Rear Wheel,7,1,1,5.0,1,1,1,1
Volkswagen,124,Discontinued,410,188,2109,8.5,125,436,543,77.0,46335,53690,46035,1000,Rear Wheel,5,1,1,5.0,1,1,1,1
Audi,138,Available,575,165,2260,5.4,186,688,529,94.9,77250,77490,71740,2100,Rear Wheel,5,1,1,5.0,0,1,1,1
Geely,111,Available,330,182,1815,6.9,95,365,461,60.2,55400,54990,31990,0,Front Wheel,5,1,0,5.0,1,1,1,1
XPENG,104,Discontinued,480,182,2100,6.7,180,574,571,87.5,47600,49990,44990,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
MG,105,Discontinued,370,185,1695,8.4,82,352,448,68.3,37990,40185,32995,500,Front Wheel,5,0,1,5.0,1,1,1,1
Volvo,135,Available,500,182,2350,4.6,215,620,575,91.0,65990,66995,59860,2400,All Wheel,5,1,1,5.0,1,1,1,1
Citroen,96,Available,255,172,1491,11.5,62,271,310,43.8,23300,24700,22295,550,Front Wheel,5,0,1,5.0,0,1,1,1
Ford,124,Available,275,159,1563,8.0,85,312,566,43.6,36900,35495,26245,750,Front Wheel,5,0,1,5.0,0,1,1,1
Renault,112,Available,185,149,1275,12.1,40,193,360,27.5,55400,22590,49825,0,Front Wheel,4,0,0,5.0,1,1,1,1
BYD,107,Available,425,205,2222,9.6,85,418,552,87.0,44990,45990,49825,1300,Front Wheel,5,1,1,5.0,1,1,1,1
Mini,94,Available,400,163,1940,8.6,93,427,460,65.2,38120,40990,29255,750,Front Wheel,5,1,1,5.0,0,1,1,1
Kia,126,Discontinued,410,180,1985,7.3,200,514,532,74.0,51990,50995,45245,1600,Rear Wheel,5,1,1,5.0,1,1,1,1
Nissan,89,Available,455,165,1981,7.6,103,487,437,75.0,55400,43000,32249,975,Front Wheel,5,1,1,5.0,1,1,1,1
BMW,213,Discontinued,505,208,2585,4.6,149,538,500,105.2,100100,105097,102755,2500,All Wheel,5,1,1,5.0,0,1,1,1
Tesla,121,Discontinued,465,155,1919,4.4,108,534,649,72.0,53560,57990,49990,1000,All Wheel,5,1,1,5.0,0,1,1,1
BYD,118,Available,360,199,2095,9.3,72,352,552,71.8,41990,42990,49825,1300,Front Wheel,5,1,1,5.0,1,1,1,1
Mini,104,Discontinued,385,168,1940,8.6,93,412,460,64.7,43500,43490,29255,750,Front Wheel,5,1,1,5.0,0,1,1,1
Volkswagen,99,Available,445,173,2139,6.7,120,490,543,77.0,46335,44990,35495,1000,Rear Wheel,5,1,1,5.0,1,1,1,1
BMW,123,Available,525,155,2120,5.6,130,595,470,81.3,60600,64330,59465,1600,Rear Wheel,5,1,1,5.0,0,1,1,1
Rolls,828,Available,465,219,2965,4.5,126,494,380,102.0,379015,396275,330000,1000,All Wheel,4,1,0,5.0,0,1,1,1
Ford,103,Available,450,176,2090,6.4,135,500,532,79.0,48900,43850,49825,1200,Rear Wheel,5,1,1,5.0,1,1,1,1
Hyundai,108,Available,420,143,1892,8.3,150,526,446,60.0,45550,54990,49825,750,Rear Wheel,5,1,1,5.0,1,1,1,1
Tesla,101,Discontinued,420,136,1836,6.1,108,495,682,57.0,40970,39990,39990,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
TOGG,82,Available,490,173,2154,7.5,115,531,505,85.0,40118,54990,49825,0,Rear Wheel,5,0,0,5.0,0,1,1,1
MG,111,Available,300,169,1710,7.7,68,306,363,50.8,34990,33970,27245,500,Rear Wheel,5,0,1,5.0,1,1,1,1
Volkswagen,100,Available,325,160,1787,8.2,90,376,385,52.0,33330,29990,29360,0,Rear Wheel,5,1,0,5.0,0,1,1,1
Audi,129,Available,420,183,2145,6.7,120,460,520,77.0,52950,49990,51310,1000,Rear Wheel,5,1,1,5.0,1,1,1,1
Volkswagen,88,Available,475,166,1957,7.1,135,536,385,79.0,44025,39990,35495,0,Rear Wheel,5,1,1,5.0,1,1,1,1
Mercedes,129,Available,395,168,2045,8.6,100,405,340,66.5,50777,54990,49825,1500,Front Wheel,5,1,1,5.0,0,1,1,1
Volkswagen,116,Available,520,165,2235,6.7,145,589,605,86.0,59895,57990,55280,1000,Rear Wheel,5,1,1,5.0,1,1,1,1
Peugeot,129,Available,300,169,1623,9.1,79,327,434,50.8,40550,36700,33900,0,Front Wheel,5,1,0,5.0,0,1,1,1
Citroen,85,Available,485,200,2246,8.8,135,492,565,96.9,55400,45000,32935,1200,Front Wheel,5,1,1,4.0,1,1,1,1
Mini,207,Discontinued,180,161,1440,7.3,44,183,211,28.9,35700,38690,32550,0,Front Wheel,4,1,0,5.0,0,1,1,1
Dongfeng,96,Available,255,157,1430,12.5,51,254,326,40.0,55400,24499,49825,750,Front Wheel,5,0,1,3.0,1,1,1,1
Hyundai,110,Discontinued,390,164,1760,7.9,64,363,361,64.0,41850,41595,39150,0,Front Wheel,5,1,0,5.0,0,1,1,1
Tesla,96,Available,555,142,1899,4.4,120,654,682,79.0,50970,50990,49990,1000,All Wheel,5,1,1,5.0,0,1,1,1
Ford,112,Discontinued,435,177,2090,6.4,120,452,536,77.0,48510,44850,45875,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
Mercedes,122,Available,400,145,2045,7.5,125,493,506,58.0,49421,48109,49825,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
BMW,170,Discontinued,450,179,2290,3.9,131,510,470,80.7,70800,76786,71085,1600,All Wheel,5,1,1,4.0,0,1,1,1
BYD,104,Available,480,172,2130,5.9,100,507,453,82.5,48990,48690,45695,750,Rear Wheel,5,1,1,5.0,1,1,1,1
Nissan,104,Available,450,193,2121,7.6,80,435,468,87.0,53490,45690,35500,750,Front Wheel,5,1,1,5.0,0,1,1,1
Hyundai,107,Available,495,149,1985,7.4,200,637,446,74.0,54000,50895,47050,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
TOGG,91,Available,440,193,2173,7.8,115,469,441,85.0,40118,54990,49825,0,Rear Wheel,5,0,0,5.0,0,1,1,1
XPENG,111,Available,445,164,2175,6.2,260,588,573,73.0,49600,48990,49825,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
Polestar,124,Discontinued,420,179,2069,7.4,108,451,440,75.0,50995,52200,46450,1500,Front Wheel,5,1,1,5.0,0,1,1,1
Hyundai,128,Available,345,174,1955,8.5,150,423,577,60.0,43900,42995,39900,750,Rear Wheel,5,1,1,5.0,1,1,1,1
Audi,161,Available,480,198,2400,5.9,186,558,590,94.9,74700,77950,68975,2400,All Wheel,5,1,1,5.0,0,1,1,1
BMW,137,Discontinued,430,156,2075,6.0,95,486,470,67.1,57500,59728,51270,1600,Rear Wheel,5,1,1,5.0,0,1,1,1
Tesla,112,Discontinued,470,160,1976,5.6,124,552,971,75.0,50970,50990,48990,1600,Rear Wheel,5,1,1,5.0,0,1,1,1
Leapmotor,118,Available,380,216,2264,4.0,120,405,435,81.9,44900,45050,49825,1500,All Wheel,5,1,1,5.0,1,1,1,1
Audi,129,Available,600,158,2250,5.4,186,718,529,94.9,75600,75990,69940,2100,Rear Wheel,5,1,1,5.0,0,1,1,1
Polestar,133,Available,495,190,2305,7.4,135,533,541,94.0,63200,64800,59990,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
Tesla,137,Discontinued,470,162,1919,3.6,135,555,649,76.0,59560,64990,59990,0,All Wheel,5,1,0,5.0,0,1,1,1
Toyota,125,Discontinued,350,183,1970,7.5,100,384,452,64.0,42900,45995,36995,750,Front Wheel,5,1,1,5.0,0,1,1,1
Audi,240,Discontinued,280,231,2445,6.8,114,299,722,64.7,69100,62700,60600,1800,All Wheel,5,1,1,5.0,0,1,1,1
Changan,123,Available,365,186,2115,5.5,130,428,651,68.0,44990,44990,49825,1600,All Wheel,5,1,1,5.0,1,1,1,1
Jeep,122,Available,310,164,1595,9.0,79,330,355,50.8,38500,34995,34800,0,Front Wheel,5,1,0,3.0,0,1,1,1
BYD,128,Available,310,187,1680,7.9,100,347,450,58.0,41990,36690,34950,1000,Front Wheel,5,1,0,5.0,1,1,1,1
Tesla,185,Discontinued,575,165,2170,3.2,140,653,798,95.0,110970,110990,49825,1600,All Wheel,5,1,1,5.0,0,1,1,1
Nissan,136,Discontinued,235,166,1580,7.9,40,218,435,39.0,29990,33340,28290,0,Front Wheel,5,1,0,5.0,1,1,1,1
Tesla,121,Available,515,153,1929,3.4,120,603,682,79.0,59470,58490,59990,0,All Wheel,5,1,0,5.0,0,1,1,1
MG,113,Discontinued,335,171,1637,7.7,60,325,479,57.4,38490,39650,30995,500,Front Wheel,5,1,1,5.0,1,1,1,1
Hyundai,160,Available,495,214,2653,6.7,195,567,390,106.0,81500,71995,73495,2500,All Wheel,7,1,1,5.0,1,1,1,1
Polestar,144,Discontinued,390,192,2188,4.7,108,419,440,75.0,54995,56200,49550,1500,All Wheel,5,1,1,5.0,0,1,1,1
Kia,162,Available,435,221,2625,6.0,194,485,385,96.0,68990,72295,49825,2500,All Wheel,7,1,1,5.0,1,1,1,1
Renault,100,Discontinued,480,181,1917,7.9,95,481,545,87.0,48900,47970,40995,1100,Front Wheel,5,1,1,5.0,0,1,1,1
Opel,108,Available,290,184,1610,13.0,70,298,460,53.5,31190,32499,25995,550,Front Wheel,5,0,1,5.0,0,1,1,1
Mercedes,465,Available,395,294,3085,4.7,150,394,555,116.0,142622,200303,180860,0,All Wheel,5,0,0,5.0,0,1,1,1
Citroen,101,Available,290,184,1607,13.0,70,298,460,53.5,30690,29800,23495,550,Front Wheel,5,0,1,5.0,0,1,1,1
Tesla,216,Discontinued,380,191,2183,4.4,80,386,804,72.5,71019,91720,72350,0,All Wheel,5,0,0,5.0,0,1,1,1
Skoda,129,Discontinued,340,171,1965,8.7,82,361,585,58.0,42100,44990,38970,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
Hyundai,173,Discontinued,190,147,1495,9.9,65,225,350,28.0,33300,33995,27250,0,Front Wheel,5,1,0,5.0,0,1,1,1
Hyundai,134,Available,445,180,2165,5.3,205,553,544,80.0,59400,61395,50900,1600,All Wheel,5,1,1,5.0,1,1,1,1
Tesla,223,Discontinued,485,196,2290,4.3,100,486,895,95.0,108420,113320,89650,0,All Wheel,5,0,0,5.0,0,1,1,1
Peugeot,129,Available,380,192,2183,8.8,90,397,588,73.0,48750,45015,45960,1250,Front Wheel,5,1,1,4.0,1,1,1,1
Ford,118,Available,335,173,1996,8.0,85,353,532,58.0,39900,38950,49825,1000,Rear Wheel,5,1,1,5.0,1,1,1,1
Porsche,199,Available,520,208,2600,4.8,290,668,871,108.0,105200,110122,83200,3000,All Wheel,5,1,1,5.0,0,1,1,1
Skoda,112,Discontinued,450,171,2137,6.7,120,467,585,77.0,48900,50990,44540,1000,Rear Wheel,5,1,1,5.0,1,1,1,1
Hyundai,149,Discontinued,245,160,1610,9.9,37,223,332,39.2,36400,35495,32450,0,Front Wheel,5,1,0,5.0,0,1,1,1
Tesla,147,Discontinued,425,169,2056,5.0,108,484,971,72.0,59965,65010,49825,1600,All Wheel,5,1,1,5.0,0,1,1,1
CUPRA,120,Available,445,173,2178,6.8,120,467,540,77.0,56210,48990,47340,1000,Rear Wheel,5,1,1,5.0,0,1,1,1
Tesla,214,Available,565,168,2272,2.4,140,639,798,95.0,120970,120990,49825,1000,All Wheel,5,1,0,5.0,0,1,1,1
Hyundai,134,Available,335,149,1850,8.8,120,418,446,50.0,43900,45895,49825,750,Rear Wheel,5,1,1,5.0,1,1,1,1
Volkswagen,125,Discontinued,350,166,1815,7.3,82,378,385,58.0,39995,39990,44990,0,Rear Wheel,5,1,1,5.0,0,1,1,1
Mazda,102,Available,460,170,2037,7.8,70,437,526,78.0,46500,46590,49825,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
Zeekr,115,Available,515,186,2480,3.3,260,671,488,96.0,60450,58490,49825,1600,All Wheel,5,1,1,5.0,1,1,1,1
XPENG,135,Available,480,192,2365,6.4,330,619,731,92.2,63600,65990,49825,1500,Rear Wheel,5,1,1,5.0,1,1,1,1
Opel,127,Discontinued,295,157,1530,8.1,78,321,267,46.3,36395,36999,33930,0,Front Wheel,5,1,0,4.0,0,1,1,1
BMW,195,Available,525,208,2580,4.6,150,554,500,109.1,99900,99900,93105,2500,All Wheel,5,1,1,5.0,0,1,1,1
XPENG,128,Available,425,188,2295,4.1,290,548,571,80.0,51600,53990,49990,1500,All Wheel,5,1,1,5.0,1,1,1,1
Peugeot,140,Available,370,197,2260,9.7,90,388,348,73.0,51250,48415,48660,1000,Front Wheel,7,1,1,4.0,1,1,1,1
BMW,166,Discontinued,470,173,2205,6.0,136,535,490,81.2,70200,78608,74105,1500,Rear Wheel,5,1,1,5.0,0,1,1,1
Mazda,212,Discontinued,170,176,1720,9.7,32,167,366,30.0,35990,36440,31250,0,Front Wheel,5,1,0,5.0,0,1,1,1
BYD,101,Available,350,173,1733,7.0,75,354,345,60.5,34640,37190,30205,0,Front Wheel,5,1,1,5.0,1,1,1,1
Renault,101,Available,380,158,1719,7.4,87,410,440,60.0,40990,37990,31295,900,Front Wheel,5,1,1,5.0,1,1,1,1
Hyundai,154,Discontinued,385,192,2120,5.1,200,484,551,74.0,59200,60995,50445,1600,All Wheel,5,1,1,5.0,1,1,1,1
Citroen,125,Discontinued,290,160,1636,9.7,78,318,380,46.3,34875,37205,31960,0,Front Wheel,5,1,0,4.0,0,1,1,1
Peugeot,106,Available,500,194,2241,8.7,135,512,588,96.9,52850,49915,48660,1200,Front Wheel,5,1,1,4.0,1,1,1,1
Volkswagen,136,Discontinued,205,158,1248,11.9,30,188,250,32.3,29995,25850,24085,0,Front Wheel,4,0,0,3.0,0,1,1,1
Kia,92,Available,495,158,1900,7.7,105,518,490,78.0,47140,44595,39395,1000,Front Wheel,5,1,1,5.0,1,1,1,1
